areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-10-07,35_to_39,13558.8,251240
E92000001,England,nation,2021-10-07,50_to_54,11392.6,217749
E92000001,England,nation,2021-10-07,60_to_64,8685.1,136225
E92000001,England,nation,2021-10-07,15_to_19,18379.3,294335
E92000001,England,nation,2021-10-07,40_to_44,13520.3,233937
E92000001,England,nation,2021-10-06,80_to_84,6900.1,44162
E92000001,England,nation,2021-10-06,75_to_79,5770.8,53904
E92000001,England,nation,2021-10-06,40_to_44,13457.2,232845
E92000001,England,nation,2021-10-06,45_to_49,12216.3,220285
E92000001,England,nation,2021-10-06,90+,13513.6,22912
E92000001,England,nation,2021-10-06,30_to_34,14899.9,285544
E92000001,England,nation,2021-10-06,10_to_14,14945.1,263313
E92000001,England,nation,2021-10-06,85_to_89,9499.4,33835
E92000001,England,nation,2021-10-06,5_to_9,7761.5,140821
E92000001,England,nation,2021-10-06,55_to_59,10067.2,186505
E92000001,England,nation,2021-10-06,50_to_54,11342.3,216787
E92000001,England,nation,2021-10-06,35_to_39,13518.4,250492
E92000001,England,nation,2021-10-06,15_to_19,18291.3,292927
E92000001,England,nation,2021-10-06,20_to_24,18154.2,325269
E92000001,England,nation,2021-10-06,25_to_29,16140.4,310608
E92000001,England,nation,2021-10-06,60_to_64,8651.9,135704
E92000001,England,nation,2021-10-06,0_to_4,4547.1,75586
E92000001,England,nation,2021-10-06,65_to_69,6481.7,87355
E92000001,England,nation,2021-10-06,70_to_74,5337.9,71738
E92000001,England,nation,2021-10-05,20_to_24,18133.6,324899
E92000001,England,nation,2021-10-05,45_to_49,12158.1,219235
E92000001,England,nation,2021-10-05,50_to_54,11291.5,215816
E92000001,England,nation,2021-10-05,10_to_14,14728.9,259504
E92000001,England,nation,2021-10-05,15_to_19,18200.5,291473
E92000001,England,nation,2021-10-05,80_to_84,6880.3,44035
E92000001,England,nation,2021-10-05,5_to_9,7677.4,139296
E92000001,England,nation,2021-10-05,40_to_44,13393.1,231736
E92000001,England,nation,2021-10-05,65_to_69,6457.1,87023
E92000001,England,nation,2021-10-05,70_to_74,5312.3,71394
E92000001,England,nation,2021-10-05,55_to_59,10031.8,185848
E92000001,England,nation,2021-10-05,0_to_4,4528.1,75270
E92000001,England,nation,2021-10-05,30_to_34,14864.7,284869
E92000001,England,nation,2021-10-05,35_to_39,13476.6,249718
E92000001,England,nation,2021-10-05,90+,13494.1,22879
E92000001,England,nation,2021-10-05,75_to_79,5750.2,53711
E92000001,England,nation,2021-10-05,60_to_64,8618.9,135186
E92000001,England,nation,2021-10-05,25_to_29,16115.9,310136
E92000001,England,nation,2021-10-05,85_to_89,9481.4,33771
E92000001,England,nation,2021-10-04,65_to_69,6432.1,86686
E92000001,England,nation,2021-10-04,60_to_64,8589.4,134724
E92000001,England,nation,2021-10-04,40_to_44,13332.9,230695
E92000001,England,nation,2021-10-04,0_to_4,4506.5,74912
E92000001,England,nation,2021-10-04,45_to_49,12101.0,218207
E92000001,England,nation,2021-10-04,15_to_19,18101.8,289891
E92000001,England,nation,2021-10-04,25_to_29,16089.4,309627
E92000001,England,nation,2021-10-04,70_to_74,5289.6,71089
E92000001,England,nation,2021-10-04,20_to_24,18113.0,324531
E92000001,England,nation,2021-10-04,30_to_34,14833.8,284276
E92000001,England,nation,2021-10-04,10_to_14,14508.8,255626
E92000001,England,nation,2021-10-04,55_to_59,9996.6,185196
E92000001,England,nation,2021-10-04,35_to_39,13436.5,248974
E92000001,England,nation,2021-10-04,50_to_54,11243.6,214900
E92000001,England,nation,2021-10-04,75_to_79,5727.3,53497
E92000001,England,nation,2021-10-04,85_to_89,9464.5,33711
E92000001,England,nation,2021-10-04,80_to_84,6860.9,43911
E92000001,England,nation,2021-10-04,5_to_9,7592.0,137747
E92000001,England,nation,2021-10-04,90+,13472.9,22843
E92000001,England,nation,2021-10-03,50_to_54,11192.2,213918
E92000001,England,nation,2021-10-03,70_to_74,5266.7,70781
E92000001,England,nation,2021-10-03,5_to_9,7491.9,135931
